Year,COUNTRY,REGION,CATEGORY,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,United States,Americas,Explosion,,,,
2017,Congo,Africa,Unknown,,,,
2017,Pakistan,Asia,Assault,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Egypt,,Explosion,,,,
2017,Nigeria,Africa,Unknown,,,,
2017,United States,Americas,Unknown,,,,
2017,Somalia,Africa,Explosion,,,,
2017,Somalia,Africa,Explosion,,,,
2017,Niger,Africa,Unknown,,,,
2017,France,Europe,Assault,,,,
2017,Gaza,,Assault,,,,
2017,United Kingdom,Europe,Explosion,,,,
2017,Iraq,Asia,Explosion,,,,
2017,Myanmar,Asia,Unknown,,,,
2017,Belgium,Europe,Unknown,,,,
2017,Finland,Europe,Assault,,,,
2017,Spain,Europe,"Assault,Explosion",,,,
2017,Burkina Faso,Africa,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,United States,Americas,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,France,Europe,Unknown,,,,
2017,Israel,Asia,Assault,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,Afghanistan,Asia,Unknown,,,,
2017,Somalia,Africa,Unknown,,,,
2017,Germany,Europe,Assault,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Israel,Asia,Assault,,,,
2017,Jordan,Asia,Assault,,,,
2017,Gaza,,Assault,,,,
2017,Egypt,Africa,Assault,,,,
2017,Israel,Asia,Assault,,,,
2017,India,Asia,Unknown,,,,
2017,Venezuela,Americas,Unknown,,,,
2017,Indonesia,Asia,Assault,,,,
2017,Pakistan,Asia,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,United States,Americas,Assault,,,,
2017,Belgium,Europe,Explosion,,,,
2017,United Kingdom,Europe,Unknown,,,,
2017,Colombia,Americas,Explosion,,,,
2017,Israel,Asia,Assault,,,,
2017,United States,Americas,Assault,,,,
2017,Iran,Asia,Assault,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,France,Europe,Unknown,,,,
2017,Australia,Oceania,Hostage,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,United Kingdom,Europe,Assault,,,,
2017,Afghanistan,Asia,Explosion,,,,
2017,Iraq,Asia,Explosion,,,,
2017,Egypt,Africa,Assault,,,,
2017,Indonesia,Asia,Explosion,,,,
2017,United Kingdom,Europe,Explosion,,,,
2017,Libya,,Unknown,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,Thailand,Asia,Explosion,,,,
2017,Pakistan,Asia,Explosion,,,,
2017,India,Asia,Unknown,,,,
2017,Afghanistan,Asia,Unknown,,,,
2017,France,Europe,Assault,,,,
2017,Syria,Asia,Explosion,,,,
2017,Israel,Asia,Assault,,,,
2017,Egypt,Africa,Explosion,,,,
