DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
7/24/2017,Israel,,,Western Asia,Asia,Islamic Jihad,1,0,"A 32 year old Israeli Arab civilian was stabbed in the neck in the city of Petah Tikva, by a Palestinian man from Qalqilya. The attacker was arrested and reportedly said that he ""did it for Al Aqsa"". ","31.5313113,34.8667654",Assault,2017
7/23/2017,Jordan,Amman Governorate,Amman,Western Asia,Asia,,1,1,A Jordanian worker at the Israeli embassy stabbed a guard who shot the perpetrator dead. An bystander was also hit by the gunfire and later succumbed to his injuries[citation needed] ,"31.9515694,35.9239625",Assault,2017
7/21/2017,Gaza,,,,,,1,3,"Three Israelis were killed and 1 severely wounded in a stabbing attack in the Israeli town of Halamish. The assailant, whom Channel 2 identified as Palestinian, was shot by a neighbour. ","31.4432234,34.360007",Assault,2017
7/14/2017,Egypt,Red Sea Governorate,Hurghada,Northern Africa,Africa,Islamic State,3,3,"Two German tourists and a Czech citizen, who succumb to her wounds on 27 July in an hospital in Cairo, were killed and 3 other tourists were injured when a knifeman attacked a holiday resort in Hurghada. The attacker communicated with the Islamic State via internet and was given the task of attacking foreign tourists on Hurghada beaches by the group. ","27.222556,33.8307062",Assault,2017
7/14/2017,Israel,Jerusalem District,Jerusalem,Western Asia,Asia,Islamic Jihad,1,2,"Three Arab citizens of Israel opened fire on Israeli police officers at the Temple Mount. They hit them near the Lions' Gate and fled to mosques of the mount. Three officers were shot and injured, 2 of them critically. The 3 attackers, that were armed with rifles and a handgun, were all shot dead by police. ","31.7788242,35.2257626",Assault,2017
7/10/2017,India,Jammu and Kashmir,Anantnag,Southern Asia,Asia,Lashkar-e-Taiba (LeT),19,7,"In an attack masterminded by Lashkar e Taiba, militants first attacked a police bunker and then a police naka party in the Anantnag district. A bus carrying pilgrims to Amarnath Temple was caught in the crossfire between militants and policemen, leaving 7 pilgrims dead and 19 others injured. ","33.7368773,75.1455138",,2017
7/5/2017,Venezuela,Capital District,Caracas,South America,Americas,"Colectivos, Venezuelan National Guard and pro-government civilians",12,0,A group of Maduro supporters violently interrupted in the Venezuelan Parliament and injured 12 deputies. ,"10.506098,-66.9146017",,2017
6/25/2017,Indonesia,North Sumatra,Medan,South-Eastern Asia,Asia,Islamic State,0,1,"An Indonesian Police officer was stabbed and later died on a police post in Medan, North Sumatra at the celebration Eid al Fitr. Police shot dead 1 suspect and 1 was arrested. ","3.5896654,98.6738261",Assault,2017
6/23/2017,Pakistan,Sindh,Karachi,Southern Asia,Asia,,1,4,In the late Friday evening (local time) Karachi shot men from motorcycles on policemen in the city of Karachi in southern Pakistan. Four police officers were killed in an industrial area attack and 1 had been injured. ,"24.8546842,67.0207055",,2017
6/23/2017,Pakistan,Balochistan,Quetta,Southern Asia,Asia,Jamaat-ul-Ahrar,20,13,At least 13 people were killed and 20 wounded in a car bomb attack near the provincial police chief's office in the southwestern Quetta city in Pakistan. ,"30.1957677,67.0172447",Explosion,2017
